title,sinopse,produção,genero,data-lancamento,image
Muitos homens num só,"O filme romanceia a história do criminoso Antônio, tornando sua saga policial uma história de amor. Apaixonado por Eva, uma mulher casada e tolhida pelo marido, o ladrão vê sua sagacidade colocada em risco pela paixão.  Eva, que sonha ser pintora mas vê sua vida presa às vontades do marido, é a personagem-título de outro livro do autor, uma peça teatral. Ao longo de sua jornada de latrocínios, a polícia se desdobra para encontrar Dr. Antônio e para isso conta com a ajuda de um forte aliado: Félix Pacheco, que acredita que o recém-descoberto método de identificação pelas impressões digitais seja a solução definitiva para solução de crimes. 
",Tambellini Filmes,Romance,25/06/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/MuitosHomensNumS%C3%B3.jpg?itok=TZ7ipmgy
Vilanova Artigas: o arquiteto e a luz,"O documentário remonta a trajetória do icônico arquiteto brasileiro João Batista Vilanova Artigas. Por meio das lembranças de familiares, amigos, alunos, imagens de arquivo e visitas a seis de suas principais obras, a história de vida de artigas é contada. ",Olé Produções,Documentário,25/06/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Vila%20artigas_cartaz_digital_03.jpg?itok=yU0Q9gz0
O gorila,"Afrânio é um ex-dublador solitário que cria um heterônimo: o Gorila. Assim, ele passa a telefonar para mulheres, estimulando fantasias e se alimentando de suas histórias. No entanto, durante a ceia de Natal, Afrânio se torna vítima de um misterioso telefonema e se vê obrigado a enfrentar o mundo exterior para impedir um suicídio. Rosalinda, sua nova vizinha e uma de suas vítimas telefônicas, junta-se a ele em sua busca.
",Camisa Treze e RT Features,Drama,25/06/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/gorila-cartaz-672x1008.jpg?itok=jG6oxZOD
Meu passado me condena 2,"A vida de casados dos apaixonados Fábio e Miá cai na rotina quando, as diferenças, que não são poucas, precisam ser enfrentadas. Após Fábio esquecer o terceiro aniversário de casamento, Miá decide pedir um tempo. Quando o avô de Fábio, que mora em Portugal, o comunica que ficou viúvo, ele enxerga nesta viagem para o funeral uma oportunidade de salvar seu casamento.",,Comédia,02/07/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz%20Meu%20passado%20me%20condena%202.jpg?itok=3iZP4zzA
Dois casamentos,"Duas noivas aguardam numa sala da igreja serem chamadas para se casar. Enquanto isso, refletem sobre suas vidas e suas relações.",Cavídeo,Drama,03/07/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/cartaz%20dois%20casamentos.jpg?itok=17lBgDWq
Campo de jogo,"No Rio de Janeiro, perto do mítico estádio Maracanã, palco da grande final da Copa do Mundo de 2014, encontramos o campo popular do bairro Sampaio. Lá acontece o futebol como expressão genuína da cultura brasileira. Disputado aos domingos, o campeonato anual de favelas reúne 14 times. Cada um representa as cores e os rituais de sua comunidade. Geração X Juventude disputam a final.
","Aruac Filmes, Filmegraph, Mutuca Filmes",Documentário,23/07/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Campo%20de%20jogo%20-%20Poster.jpg?itok=HY7xdxmX
A nação que não esperou por Deus,"Em 1999, Lucia Murat filmou ""Brava Gente Brasileira"", um filme de época que contou com a participação dos índios Kadiwéu, que vivem no Mato Grosso do Sul. ""A Nação Que Não Esperou Por Deus"" é um documentário sobre essa tribo, feito em 2013/2014 pela mesma diretora, com a co-direção de Rodrigo Hinrichsen, assistente de direção de ""Brava Gente Brasileira"". ",Taiga Filmes,Documentário,16/07/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz%20A%20na%C3%A7%C3%A3o%20que%20n%C3%A3o%20esperou%20por%20Deus.jpg?itok=HqUuWGka
"Carrossel, o filme","A turminha de Carrossel está de férias em um acampamento. Juntos eles vivem dias incríveis e participam de uma gincana organizada por Campos. O Sr. Campos é um velhinho muito simpático, que faz de tudo para que as crianças se divirtam ao máximo.  É em meio a esse clima que chega Gonzáles, o funcionário de uma incorporadora que a tem missão de comprar o terreno do acampamento para transformá-lo em um condomínio de luxo. ",Paris Produções,Aventura infanto-Juvenil,23/07/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz%20Carrossel%20O%20Filme.JPG?itok=9c30uoJQ
Tudo por amor ao cinema,"Documentário sobre um dos personagens mais importantes da História do Cinema Brasileiro: Cosme Alves Netto (1937-1996). Mais conhecido como o “Cosme” da Cinemateca do MAM-RJ, e que esteve presente entre as décadas 50 a 80 em vários episódios da história do cinema brasileiro e latino-americano, sobretudo na luta por sua divulgação e preservação. O filme revela a intimidade da vida deste amazonense-de-todo-mundo.
",,Documentário,30/07/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/cartaz%20tudo%20por%20amor%20ao%20cinema.jpg?itok=0mVJfnvE
"Hermogenes, Professor e Poeta do Yoga","Um documentário sobre a vida e obra do prof. Hermógenes, um dos precursores do Yoga no Brasil, autor de 30 livros. Uma personalidade brasileira que inspirou a vida de muitas pessoas através da filosofia oriental, Yoga e meditação, que ganha cada dia mais adeptos. O filme inclui material inédito e raro de seu acervo pessoal de viagens à Ìndia, palestras, seus encontros com mestres como Sai Baba, Chico Xavier e entrevistas com personalidades brasileiras como Marcelo Yuka e Jackson Antunes. ",Bodhgaya Films,Documentário,23/07/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/cartaz%20hermogenes.jpg?itok=9UM8PT-v
Apneia,"O desenrolar de uma semana da vida de três meninas ricas e entediadas, que dividem suas solidões, seus medos e a ausência de limites. No fundo, elas querem a mesma coisa: ser amadas.",Juba Filmes,Drama,06/11/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Apneia.jpg?itok=k0PN1pcA
Até que a Sbórnia nos Separe  ,"O que acontece quando o muro que separa um pequeno país do resto do mundo cai acidentalmente? Tranquilo e parado no tempo, o povo da Sbórnia é agora atingido pelos ventos da modernidade vindos da cidade grande. ",Otto Desenhos Animados,Comédia Musical,30/10/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-Sbornia.jpg?itok=HN_jBLzS
Mão na luva ,"Lúcio e Sílvia decidem se separar depois de treze anos de vida em comum. A última noite sob o mesmo teto é marcada por acusações, revelações e também pelas lembranças de um casal tão apaixonado que, pelo entendimento perfeito, lembrava o encaixe de uma “mão na luva”. ","Movimento Carioca, Camisa Listrada e Guarda-chuva",Drama,06/11/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.mao%20na%20luva.jpg?itok=ihmM92FR
Os últimos cangaceiros ,"Durvinha e Moreno, cangaceiros do bando de Lampião, esconderam suas verdadeiras identidades da família, até que ele, com 95 anos, decide revelar toda a história para os filhos e reencontrar seus parentes.",Bucanero Filmes,Documentário,28/05/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/ltimos%20Cangaceiros-%20Cartaz.jpg?itok=3POUI6fF
O fim de uma era,"O que é essa coisa chamada amor? Essa coisa engraçada chamada amor? Quem poderá resolver seu mistério? Por que faz de mim um tolo?
","Daza Cultural, Alumbramento e TB Produções",Drama,16/04/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/O%20Fim%20de%20uma%20Era.jpg?itok=-7Hh91u3
Casa Grande,"Um adolescente rico que luta para escapar da superproteção dos pais, secretamente falidos. Enquanto a casa cai, os empregados têm que enfrentar suas inevitáveis demissões, e Jean tem que confrontar as contradições da casa grande.
",Migdal Filmes,Drama,16/04/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Casa%20Grande.jpg?itok=8-2KnZek
O Uivo da Gaita,"Uma história de amor líquido entre Antonia, Luana e Pedro.
","Daza Cultural, Alumbramento e TB Produções",Drama,16/04/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/O%20Uivo%20da%20Gaita.jpg?itok=DZ5QrxOi
O Rio nos pertence,"Depois de receber um estranho cartão postal, Marina, uma jovem de 30 anos, decide voltar ao Rio de Janeiro, sua cidade natal. Após uma ausência de 10 anos, Marina não sabe exatamente por que voltou e busca respostas para acontecimentos estranhos. O Rio de Janeiro parece estar sob um misterioso feitiço.
","Daza Cultural, Alumbramento e TB Produções",Drama,16/04/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/O%20Rio%20nos%20Pertence.jpg?itok=crbyholi
A viagem de Yoani,"A blogueira e ativista cubana Yoani Sánchez mantém um blog com milhões de views por mês, em que faz duras críticas ao Socialismo. Depois de anos tentando obter a permissão para viajar para fora de Cuba, a principal opositora dos irmãos Castro dentro da ilha veio ao Brasil.
",Sala12,Documentário,23/04/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/a%20viagem%20de%20yaoni%20correto.JPG?itok=va856I2M
Entre abelhas,"Bruno, um jovem de quase 30 anos que acaba de se separar da mulher, tropeça no ar e esbarra no que não vê até perceber que as pessoas ao seu redor estão desaparecendo só para ele. Com a ajuda da mãe e do melhor amigo, Bruno tentará se adaptar a esse novo mundo com cada vez menos gente.
",Mixer e Fondo Filmes,Comédia,30/04/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/PosterCinema%20EntreAbelhas.jpg?itok=lfvJqxmt
"Sorria, você está sendo filmado - O filme ","O filme expõe a cômica reação do síndico, do porteiro, da faxineira, da ex-atriz, do homem de preto dos policiais e outros personagens diante de uma surpresa num prédio até a descoberta da presença de uma webcam ligada filmando toda confusão e gerando uma mudança de comportamento. Inspirado na obra “Morte de um homem nos Bálcãs (2012)”, do sérvio Miroslav Momcilovic.",Lereby Produções,Comédia,07/05/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/SorriaFilme_Cartaz_Saida.jpg?itok=OjlDbBaK
De gravata e unha vermelha,"Com depoimentos de grandes nomes de um mundo transgressor, onde a sexualidade é reinventada, o documentário cria uma vertigem a partir do jeito que cada um encontra de se respeitar na construção do próprio corpo. No uso das roupas e na criação de contornos, vão surgindo formas desruptoras de vida. O estilista Dudu Bertholini entrevista e revela as experiências peculiares de Laerte, Rogéria, Ney MatoGrosso, Johnny Luxo, Candy Mel e outras personalidades.",Sequência 1,Documentário,07/05/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/P%C3%B4ster%20-%20De%20Gravata%20e%20Unha%20Vermelha.jpg?itok=iK7DNCc6
Últimas Conversas,Último filme do cineasta brasileiro Eduardo Coutinho.,Videofilmes,Documentário,07/05/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/ultimas%20conversas_cartaz_f_rgb.jpg?itok=8igjsQvW
A estrada 47 ,"Esquadra brasileira de caçadores de minas sofre ataque de pânico na Itália, durante a 2ª Guerra Mundial. Sem esperanças, os soldados devem optar por enfrentar a Corte Marcial ou encarar o inimigo novamente.",PRIMO Filmes ,Drama,07/05/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Estrada%2047.jpg?itok=aKocJt_s
Metanóia,Eduardo foi criado num bairro da periferia de São Paulo. Sua infância foi em meio a brincadeiras nas ruas de Jardim Ângela e a boa educação dada por sua mãe Solange. Nada disso impediu que Eduardo traçasse o percurso que o levou a mergulhar no universo delirante e autodestrutivo das drogas.,4U Films e Cia Nissi,Drama,14/05/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Metanoia%20baixa.jpg?itok=SGfgBi-m
Morro dos Prazeres ,Crônica do dia-a-dia de uma comunidade do Rio de Janeiro um ano depois da instalação da Unidade de Polícia Pacificadora (UPP).,Nofoco Filmes ,Documentário,29/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Morro%20dos%20Prazeres%20%28incerto%29.jpg?itok=ir17qtg4
A vida privada dos hipopótamos,"Christopher, um americano preso no Brasil, entrega um misterioso HD a uma equipe de filmagem. Investigando esses arquivos privados, a equipe desvenda uma historia de amor, obsessão e drogas entre Chris, uma misteriosa colombiana chamada V e os hipopótamos do Pablo Escobar.
",Primo Filmes,Documentário,07/05/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/A%20Vida%20Secreta%20dos%20Hipop%C3%B3tamos.jpg?itok=cnznjyM5
Doce Amianto ,"Amianto vive isolada num mundo de fantasia habitado por seus delírios de incontida esperança, onde sua ingenuidade e sua melancolia convivem de mãos dadas. Após sentir-se abandonada por seu amor, Amianto encontra abrigo na presença de sua amiga morta, Blanche, que a protegerá contra suas dores, ao menos até onde possa.",Alumbramento Filmes,Drama,29/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz_Baixa_Doce%20Amianto.jpg?itok=odMOlIXx
Primeiro dia de um ano qualquer,"A história se passa na casa de campo da atriz Consuelo Castilhos, no dia seguinte a uma festa de réveillon. Ao longo do filme, vamos descobrindo os problemas e conflitos de cada convidado. Um filme panorâmico onde os muitos personagens, de alguma forma, buscam um sentido para viver.",Teatro Ilustre ,Comédia,29/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/primeiro-dia.jpg?itok=YRGiIxj8
Ensaio,"A bailarina Eva vive um impasse: terá que escolher entre a intensa paixão extraconjugal por seu parceiro de dança e a dedicação ao grande papel de sua vida, a heroína Anita Garibaldi. Nos bastidores dos ensaios do espetáculo, amor, inveja, arrependimento e obsessão são sentimentos que tomam todos os envolvidos, do diretor marido de Eva até a camareira.",Acquafredda Produções e Imagem Filmes,Drama,29/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Ensaio.jpg?itok=nxzRwnnq
Qualé o teu negócio?,"Treze empreendedores nas periferias de São Paulo e Rio nos surpreendem com sua determinação e criatividade, mostrando sua incrível força realizadora numa nova e pouco conhecida fronteira econômica brasileira.",DGT Filmes,Documentário,29/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Qual%C3%A9%20o%20teu%20neg%C3%B3cio.jpg?itok=kgYsq2AN
Paixão e acaso,"A psicanalista Inês apaixona-se por dois homens ao mesmo tempo, sem saber que são pai e filho. Entre aparições de seu próprio pai, Vitor, como fantasma, Inês precisa lidar com seus próprios problemas e os de seus pacientes.",Teatro Ilustre e Forte Filmes ,Comédia,29/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/paixao-e-acaso.JPG?itok=EgZeluA7
Educação sentimental ,"A relação singular entre Áurea, uma professora solitária de quarenta anos, e um jovem que ela acaba de conhecer por acaso.",República Pureza Filmes,Drama,06/12/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Educa%C3%A7%C3%A3o%20sentimental.jpg?itok=Ombfr30Q
A Floresta de Jonathas ,"Jonathas vive com os pais e o irmão, Juliano, em um sítio na área rural do Amazonas. Os irmãos conhecem Milly, uma visitante da Ucrânia, e o indígena Kedassere. O grupo decide então passar o fim de semana em um camping. Mesmo contra a vontade paterna, seduzido por Milly e pela floresta, Jonathas empreende a mais transformadora de suas jornadas.",Rio Tarumã Films,Drama,29/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/cartaz%20floresta.jpg?itok=nzvuvzXy
Anita e Garibaldi ,"A chegada de Giuseppe Garibaldi no Brasil, seu encontro com Anita e o aprendizado humano e militar com Luigi Rossetti na luta pela libertação do Rio Grande do Sul e de Santa Catarina do Império Brasileiro. ",Laz Audiovisual,Drama,06/12/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz_Anita%20e%20Garibaldi2%20baixa.jpg?itok=LEVBlq7Z
Amazônia desconhecida,"O filme acompanha o cotidiano de diversos grupos sociais que lutam por seu espaço, entrevistando cientistas, especialistas e personalidades, com objetivo de mapear qual o perfil atual e as consequências da ocupação humana da Amazônia brasileira.",Grifa Filmes,Documentário,06/12/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/10-10-AmazoniaCartaz1-web.jpg?itok=pAGNEHGa
Simone,"Após anos de relacionamento com mulheres, Simone resolve se envolver com um homem pela primeira vez. Uma história envolvente, rodeada de questionamentos e incertezas que colocam à prova as convicções da protagonista.",Zapata Filmes,Drama,13/12/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Simone%20-%20cartaz%20-%20WEB.jpg?itok=6GPD-4Kh
Minhocas,"As jovens minhocas Júnior, Linda e Neco lutam para voltar para casa e, em seu percurso, enfrentam o terrível vilão BigWig, da distante Terra de Ninguém.","Glaz, AnimaKing",Animação,20/12/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/cartaz-Minhocas.jpg?itok=ecOltsLR
Eu não faço a menor ideia do que eu tô fazendo com a minha vida,"Clara está indecisa em relação às suas escolhas profissionais. Sem contar para ninguém o que está sentindo, ela passa a matar aulas no período da manhã, até que conhece um rapaz que a ajuda a encontrar um norte para sua vida. ",RT Features,Comédia,20/12/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/EuNaoFaco_baixa.jpg?itok=hLXT8CBm
Até que a sorte nos separe 2 ,"Alguns anos se passaram e a família de Tino ainda sofre para encarar a vida como ex-milionários. A oportunidade vem em forma de uma herança e, para atender ao pedido no testamento, a família precisa agora viajar para Las Vegas.  ",Gullane Filmes,Comédia,27/12/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/At%C3%A9%20que%20a%20sorte%20nos%20separe%202.jpg?itok=kh4hJyAU
São Silvestre ,"São Silvestre é a mais famosa corrida de rua do Brasil, realizada anualmente em São Paulo no dia 31 de dezembro. O filme constrói de maneira sensorial a experiência de correr uma maratona: respiração, ritmo, concreto, céu, som, memória, sonho. O ""corpo-a-corpo"" entre o homem e a cidade. ",BossaNovaFilms e Girafa Filmes ,Documentário,27/12/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/posterSS_v03.jpg?itok=bW3oZlGq
O menino e o mundo ,"Sofrendo com a falta do pai, um menino deixa sua aldeia e descobre um mundo fantástico dominado por máquinas-bichos e estranhos seres. Uma inusitada animação, que retrata as questões do mundo moderno pelo olhar de uma criança.",Filme de Papel,Animação,17/01/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/o-menino-e-o-mundo.jpg?itok=gyuetqe5
Confissões de Adolescente ,"A história, baseada no livro homônimo de Maria Mariana, que virou peça de teatro e série de TV, acompanha as confissões e confusões de quatro irmãs adolescentes, que vivem os amores, dúvidas, decisões e aventuras de sua geração. ","Lereby, Sony Pictures e Globo Filmes",Comédia,10/01/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/confissoes-cartaz%20baixa.jpg?itok=sY_C6hF-
Mar negro ,"A estranha mancha negra se aproxima do litoral, trazendo morte e destruição para uma vila de pescadores. Na desesperada fuga pela sobrevivência, o solitário Albino luta pelo grande amor da sua vida, arriscando a própria alma. ",Fábulas Negras Produções Artísticas ,Horror,17/01/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Mar%20Negro%20Web.jpg?itok=DgyjaRWo
Tokiori - dobras do tempo ,Um mergulho na memória de cinco famílias de imigrantes japoneses que se instalaram no Brasil nos anos 1930.,Primo Filmes,Documentário,22/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/tokiori.jpg?itok=d2SO5lyv
Solidões,"O filme enfoca a solidão em várias histórias interligadas, como a da mulher que perde a memória e rejeita sua vida anterior, se recusando a ter contato físico ou emocional com qualquer ser humano, ou como a do demônio que vaga pelo mundo com saudade de Deus, entre outras.",Oswaldo Montenegro Produções Artísticas,Drama,01/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/solidoesFOLDER.jpg?itok=HdVndyJJ
Caleuche – o chamado do mar ,"A bióloga marinha Isabel, descendente de uma família de chilenos, vive nos Estados Unidos. Portadora de uma doença degenerativa, decide viajar para a ilha de Chiloé, ao sul do Chile, onde vive eventos sobrenaturais.",Dezenove Som e Imagem ,Ficção,01/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Caleuche.jpg?itok=uIbdtNZn
Laura,"O diretor Fellipe Barbosa tenta fazer um documentário sobre Laura, uma personagem misteriosa que vaga pela noite de Nova Iorque. No processo, o diretor acaba se tornando personagem do próprio filme.",Fernanda de Capua,Documentário,01/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Laura%20Cartaz.jpg?itok=IJEvlRfl
Fla x Flu: 40 minutos antes do nada,"Com depoimentos de grandes nomes do esporte, comentários de torcedores apaixonados e imagens de arquivo, o filme entra no universo do futebol para contar a história da rivalidade entre os times cariocas Flamengo e Fluminense.",Sentimental e-Tal,Documentário,25/10/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz%20Fla-Flu.jpg?itok=78EmESH-
Sobral – o homem que não tinha preço ,"A trajetória surpreendente de Sobral Pinto, advogado de coragem e ética inabalável, que lutou pela justiça e pela democracia, ousou desafiar a ditadura e levou um milhão de pessoas ao delírio ao subir no palanque das Diretas, aos 90 anos, para lembrar ao Brasil que “todo poder emana do povo e em seu nome deve ser exercido”",Casé Filmes, Documentário,01/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz_sobral.jpg?itok=RmSPWXck
Dyonélio,"O filme mescla documentário e ficção para retratar o universo do psiquiatra, escritor e militante comunista Dyonélio Machado. ",Manga Rosa,Documentário,01/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/dyonelio-cartaz.jpg?itok=hIgm-0KW
Ouvir o Rio: uma escultura sonora de Cildo Meireles,"Idealizado a partir do projeto Rio Oir do artista plástico Cildo Meireles, o documentário é um registro visual de sua busca pelo som das águas.
",Itaú Cultural e Movie&Art ,Documentário,08/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Ouvir%20o%20Rio_cartaz%20-%20Baixa.jpg?itok=HOzPF0D2
O exercício do caos,Um homem do campo e suas três filhas vivem a desesperança e o drama de suas próprias vidas.,Lume Filmes,Drama,08/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/cartaz_EXdoCaos%20festivais-%20baixa.jpg?itok=OVjuv_PY
"Pulmão da arquibancada, a Raça Rubro-Negra   ","A trajetória da maior torcida do Brasil, com depoimentos dos maiores ídolos do Flamengo. 	",ComDomínio e Filmes do BeM, Documentário,15/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz_Pulma%CC%83o_out13%20-%20BAIXA.jpg?itok=4Om-MgXD
"Habi, a estrangeira ","Analía é uma jovem de 20 anos que vive numa pequena cidade na Argentina e viaja para Buenos Aires para entregar artesanatos. Numa das viagens, ela acaba entrando por engano numa casa onde acontece um velório muçulmano.","Lita Stantic Producciones S.A., K&S Films",,15/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/HABI_cartaz%20baixa.jpg?itok=WrprvMuV
Lira paulistana e a vanguarda paulista ,"A história do Lira Paulistana, fenômeno cultural e catalisador de novas tendências musicais de São Paulo entre os anos de 1979 e 1986. ",Pirata Creative,Documentário,15/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Lira%20Paulista%20Cartaz.jpg?itok=Fy5buFiU
Tatuagem,"O romance entre um soldado e um agitador cultural no Brasil de 1978, durante o início do processo de abertura política da ditadura militar.",REC Produtores Associados,Drama,15/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/tatuagem_poster_portal.jpg?itok=eJOQsLnE
Eu maior,"“Eu maior” traz uma reflexão contemporânea sobre autoconhecimento e busca da felicidade, por meio de entrevistas com expoentes de diversas áreas, incluindo líderes espirituais, intelectuais, artistas e esportistas.",Catalisadora Audiovisual,Documentário,21/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/eu-maior-web.jpg?itok=cWOWA5GG
Mataram meu irmão ,"Reconstituindo os detalhes da morte de seu irmão, Rafael Burlan da Silva, ocorrida há 12 anos, o cineasta Cristiano Burlan lança-se a uma jornada pessoal que conduz ao coração de um círculo de violência em torno dos bairros da periferia paulistana.",Bela Filmes,Documentário,22/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/mataram%20meu%20irm%C3%A3o.jpg?itok=l9JSgXv6
Cidade cinza ,"Os gêmeos, Nunca e Nina são artistas famosos no mundo todo por seu estilo de grafite. No exterior, suas obras são expostas em museus e galerias. Em São Paulo, sua cidade de origem, os seus grafites são pintados de cinza pela prefeitura.",Sala 12,Documentário,22/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/cidadecinza.jpg?itok=DDhubqxo
Santo Marcos,"Com imagens marcantes e entrevistas de ex-companheiros e jornalistas, o documentário narra a trajetória de um dos maiores goleiros da história do Palmeiras, desde sua infância em Oriente (SP) até a conquista de seus dois principais títulos: a Libertadores de 1999 e a Copa do Mundo de 2002, com a Seleção Brasileira.",Contém Conteúdo,Documentário,22/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/santo%20marcos2.jpg?itok=Ly_NKccV
Mais uma canção ,"O filme, um registro da trajetória do músico e compositor Bebeto Alves, um dos mais consagrados nomes da música popular no Rio Grande do Sul, fala de uma música que rompe limites geográficos e discorre sobre a cultura musical periférica e o mainstream.",Estação Filmes,Documentário,22/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Mais%20uma%20can%C3%A7%C3%A3o.jpg?itok=IUZX7Qxb
Vazio coração ,"Hugo Kari, um cantor de renome nacional, reencontra-se com o pai no local onde a família passava férias para que, juntos, tentem superar um trauma que os assombra há anos.",Kanal Cine Vídeo,Drama,22/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/VazioCoracao-baixa.jpg?itok=80YLQjat
Crô,"O ex-mordomo Crô, personagem marcante da novela Fina Estampa, agora milionário, ganha vida na telona.","Globo Filmes, LC Barreto",Comédia,29/11/2013,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/CARTAZ_CRO%20-%20baixa.jpg?itok=ixoUa1E2
Muita calma nessa hora 2 ,"Três anos depois da viagem para Búzios, as amigas Mari, Tita, Aninha e Estrella se reencontram no Rio de Janeiro. ",Casé Filmes,Comédia,17/01/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/muita%20calma%20nessa%20hora%202.jpg?itok=uK-ZwnrP
Quando eu era vivo  ,"Após um divórcio traumático, Júnior busca abrigo na casa do pai, Sênior, com quem mantinha uma relação distante. No quarto que dividia com o irmão, agora vive a inquilina Bruna, jovem estudante de música que veio do interior para se formar. Após encontrar objetos que remetem ao passado e à sua mãe, Júnior desenvolve uma obsessão pela história de sua família e tenta recuperar algo que aconteceu em sua infância e que, até hoje, o assombra. ",RT Features e Camisa Treze,Drama,31/01/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Quandoeueravivo%20baixa.jpg?itok=j2I-H8W0
