title,sinopse,produção,genero,data-lancamento,image
Cora Coralina - Todas as vidas,"
	História da escritora e poeta brasileira Cora Coralina.",AsaCine Produções,Documentário,14/12/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/4675456.jpg-r_1200_1755-f_jpg-q_x-xxyxx.jpg?itok=pT8GRToo
Tudo É Projeto,"
	Documentário sobre a vida e obra do arquiteto Paulo Mendes da Rocha, contada por ele em entrevistas para sua filha. Com 89 anos de idade, Paulo Mendes é hoje um dos mais importantes e renomados arquitetos do mundo, porém, acima de tudo um pensador cujas ideias e opiniões polêmicas sobre urbanidade, natureza, humanidade, arte e técnica merecem ser ouvidas. Em um constante diálogo entre entrevistado/pai e entrevistadora/filha, Joana é o fio condutor do filme. Como em todas as relações pessoais, principalmente entre pais e filhos, o fio que conduz é também o que é conduzido.",Olé Produções,Documentário,14/12/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/tudo%20%C3%A9%20projeto.jpg?itok=bLCGXiwi
Todas as meninas reunidas vamos lá,"
	O longa acompanha as atividades no Girls Rock Camp Brasil, um acampamento só para meninas em Sorocaba, São Paulo, que tem como missão principal empoderar e promover a autoestima das visitantes, através de atividades que envolvem a educação musical, criatividade e feminismo.",Amora Filmes ,Documentário,21/12/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Todas%20as%20meninas_1.jpg?itok=wtAyv9bN
Bye Bye Jaqueline,"
	Jaqueline é uma menina de classe baixa bolsista em um colégio privado. Aos 16 anos seus maiores problemas circulam entre as dificuldades de ir à escola todo o dia, o treino de vôlei e sua paixão não correspondida por Fernando, o garoto mais bonito da escola (pelo menos aos olhos dela). A melhor parte do seu dia é ficar ao lado da sua melhor amiga, Amanda, que por sua vez esconde um segredo de Jaqueline. Por sua vez Marchesi, amigo de Fernando, parece estar apaixonado por ela e fará de tudo para conquistá-la. A vida segue seu curso, a medida em que nesta escola segredos serão revelados, sentimentos magoados e relações ficaram abaladas.",O Quadro,Comédia Romântica,28/12/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Bye%20Bye%20Jaqueline.jpg?itok=U9VNzvfe
Sailing Band,"
	Quando uma banda tem uma turnê marcada pelo Caribe, um documentarista acompanha o grupo para registrar a jornada.",Tapa Filmes,Documentário,11/01/2018,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/sailingband.jpg?itok=llmXb7V5
"Fala sério, mãe!","
	Uma história bem-humorada da relação de convivência entre mãe e filha. Baseado no romance adolescente de Thalita Rebouças.",Camisa Listrada,Comédia,28/12/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/1819757.jpg-r_1920_1080-f_jpg-q_x-xxyxx.jpg?itok=rvL9Livb
Reis e Ratos,"Um grupo está envolvido num plano para tirar o Presidente do poder sem que seja preciso recorrer a um golpe militar. A história narra a atmosfera de conspirações às vésperas do golpe militar de 1964 através do ponto de vista de diversos personagens, todos ligados de alguma forma à direita.",Natasha Filmes,Comédia,17/02/2012,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/CARTAZ_FINAL.jpg?itok=hssDDLtz
Hotxuá,"Registro poético sobre a tribo indígena krahô, um povo sorridente que designa um sacerdote do riso, o hotxuá, para fortalecer e unir o grupo através da alegria, do abraço e da conversa. Acompanhando o dia-a-dia da aldeia no Norte do Brasil, o filme colhe depoimentos dos índios, em sua língua nativa e em português.",Pedra Corrida Produções e Letícia Sabatella,Documentário,17/02/2012,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/hotxua.jpg?itok=aQL-3LRR
"Raul - O início, o fim e o meio","Documentário sobre a vida do conhecido cantor e compositor Raul Seixas. O filme desvenda através de imagens de arquivo, encontros familiares , conversa com artistas, produtores e amigos, a trajetória da lenda do Rock.  amor livre, Sociedade Alternativa, drogas, ditadura militar, mulheres e família. Um homem que queria viver de sua obra e morreu por ela. ",A.F. Cinema ,Documentário,23/03/2012,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/raul%20seixas.JPG?itok=-u5rASRR
Billi Pig,"Dono de uma seguradora de fundo de quintal e sua mulher aspirante a atriz se juntam a um falso padre para fazer um milagre: tirar a filha de um poderoso traficante do coma. Enquanto o milagre não vem, eles vivem uma vida de rico paga pelo traficante.",Bananeira Filmes,Comédia,02/03/2012,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/billi%20pig.JPG?itok=Ov_YorsX
Ninguém Entra Ninguém Sai,"
	Um acontecimento inesperado surpreende os casais durante seus encontros amorosos em um motel. Repentinamente cercado pela polícia, pela imprensa e por curiosos, agora ninguém poderá entrar, e pior, ninguém poderá sair do motel. Sem saber o motivo do cerco ou o que fazer para poder sair, está instalada uma grande e muito divertida confusão.",Caribe Produções,Comédia,04/05/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/ninguem%20entra%20ninguem%20sai.jpg?itok=VlSSEEWh
